Door Schedule,,,,,,,,,,,,,,,
Door,,,,,,,Frame,,,,,,Fire Rating Label,Hardware,,Comments
Mark,Size,,,Material,Finish,Under Cut,Material,Type,Finish,Head,Jamb,Sill,,Set No.,From Room: Number,
,Width,Height,Thickness,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
101A,2' - 2",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,E1,,
101B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
101C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
101D,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A2,104,
102A,3' - 6",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B4,102,
102B,3' - 0",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B5,101,
105A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
105B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
105C,3' - 0",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B3,,
105D,6' - 0",7' - 10",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D1,,
106A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,45 MIN,A2,,
106B,3' - 0",8' - 8 3/8",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B6,,
106C,6' - 6",9' - 0",,STL,PNT,--,HM,,PNT,,,,,C1,,
106D,3' - 0",8' - 8 3/8",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B6,,
106E,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
106F,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
107A,8' - 0",8' - 4",0' - 3",STL,PNT,--,STL,,PNT,,,,,C4,,
107B,3' - 0",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B5,106,
107C,3' - 0",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B3,,
108A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
108B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
108C,6' - 0",8' - 8",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D1,,
108D,6' - 0",8' - 8",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D1,,
108E,3' - 0",8' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B3,,
109A,6' - 0",9' - 1 3/4",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D1,,
109B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
109C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
109D,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,B1,,
201A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,45 MIN,A2,,
201B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
201C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,20 MIN,A1,,
202A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,202,
202B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,201,
203A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,201,
203B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,203,
204,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,204,
204A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,201,
204B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,204,
205A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,205,
205B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,201,
205D,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
301A,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
301B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A2,,
301C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
302A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,45 MIN,A2,,
302B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,20 MIN,A1,,
303A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,303,
303B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
304A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
304B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,304,
306A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
306B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,306,
307A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,307,
307C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
307D,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
308A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
308B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,308,
309A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,302,
309B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,309,
401A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A2,,
401B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
401C,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
402A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,45 MIN,A2,,
402B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,20 MIN,A1,,
403A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,403,
403B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
404A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
404B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,404,
405A,3' - 0",7' - 0",0' - 1 3/4",,,,,,,,,,NR,,405,
405B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
406,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,406,
406A,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
406B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
406C,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,406,
407A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
407B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,407,
408A,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,408,
408C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
409A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
409B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,409,
410A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,402,
410B,3' - 0",7' - 0",0' - 1 3/4",WD,PNT,--,HM,,PNT,,,,NR,A4,410,
410C,3' - 0",7' - 5",0' - 1 3/4",,,,,,,,,,90 MIN,,,
501A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A2,,
501B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
502A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,45 MIN,A2,,
502B,2' - 10",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A4,,
502C,2' - 10",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A4,,
