Scope,Name,Storage,Value
"Native","Name","Property","400 x 400mm"
"Native","Id","Property","384575"
"Native","Category","Property","Structural Columns"
"Native","Class","Property","FamilyInstance"
"Native","Level","Property","Level 0"
"Native","Workset","Property","Workset1"
"Native","Design Option","Property","-"
"Native","Is Editable","Property","N/A"
"Native","Owner","Property","N/A"
"Native","Group","Property","-"
"Native","Pinned","Property","False"
"Native","Location","Property","Point (-146.57, 27.56, 0)"
"Instance","Base Level","ElementId","Level 0"
"Instance","Base Level","ElementId","Level 0"
"Instance","Base Offset","Double","-50"
"Instance","Base Offset","Double","-50"
"Instance","Category","ElementId","Structural Columns"
"Instance","Category","ElementId","Structural Columns"
"Instance","Column Location Mark","String","B-1"
"Instance","Column Style","Integer","Vertical"
"Instance","Comments","String","-"
"Instance","Design Option","ElementId","-1"
"Instance","Export to IFC","Integer","By Type"
"Instance","Export to IFC As","String","-"
"Instance","Family","ElementId","Concrete Square"
"Instance","Family and Type","ElementId","Concrete Square: 400 x 400mm"
"Instance","Family Name","String","-"
"Instance","Has Association","Integer","No"
"Instance","Host Id","ElementId","-1"
"Instance","IFC Predefined Type","String","-"
"Instance","IfcGUID","String","0K2jTdOWX139$XhtZAz7Kd"
"Instance","Image","ElementId","-"
"Instance","Length","Double","450"
"Instance","Level","ElementId","Level 0"
"Instance","Mark","String","-"
"Instance","Moves With Grids","Integer","Yes"
"Instance","Phase Created","ElementId","New Construction"
"Instance","Phase Demolished","ElementId","None"
"Instance","Rebar Cover - Bottom Face","ElementId","-"
"Instance","Rebar Cover - Other Faces","ElementId","Rebar Cover 1 <25 mm>"
"Instance","Rebar Cover - Top Face","ElementId","Rebar Cover 1 <25 mm>"
"Instance","Room Bounding","Integer","Yes"
"Instance","Structural Material","ElementId","Concrete - Cast-in-Place Concrete"
"Instance","Top Level","ElementId","Level 1"
"Instance","Top Level","ElementId","Level 1"
"Instance","Top Offset","Double","0"
"Instance","Top Offset","Double","0"
"Instance","Type","ElementId","400 x 400mm"
"Instance","Type Id","ElementId","384466"
"Instance","Type Name","String","-"
"Instance","Volume","Double","0.67 m³"
"Type","Assembly Code","String",""
"Type","Assembly Description","String",""
"Type","b","Double","40"
"Type","Category","ElementId","Structural Columns"
"Type","Category","ElementId","Structural Columns"
"Type","Code Name","String",""
"Type","Cost","Double","-"
"Type","Description","String","-"
"Type","Design Option","ElementId","-1"
"Type","Export Type to IFC","Integer","Default"
"Type","Export Type to IFC As","String","-"
"Type","Family Name","String","Concrete Square"
"Type","Keynote","String","E"
"Type","Manufacturer","String","-"
"Type","Model","String","-"
"Type","OmniClass Number","String",""
"Type","OmniClass Title","String",""
"Type","Section Name Key","String","-"
"Type","Section Shape","Integer","Not Defined"
"Type","Type Comments","String","-"
"Type","Type IFC Predefined Type","String","-"
"Type","Type IfcGUID","String","1vKFl8ywPB_8W8VKZKwpvc"
"Type","Type Image","ElementId","-"
"Type","Type Mark","String","-"
"Type","Type Name","String","400 x 400mm"
"Type","URL","String","-"
